,i_am_a,datetime_submitted,grade,gender,ethnicity,tenure,lik_1_1,lik_1_2,lik_1_3,lik_1_4,lik_2_1,lik_2_2,lik_2_3,lik_2_4,lik_3_1,lik_3_2,lik_3_3,lik_3_4,lik_4_1,lik_4_2,lik_4_3,lik_4_4,lik_5_1,lik_5_2,lik_5_3,lik_5_4,lik_6_1,lik_6_2,lik_6_3,lik_6_4,scl_chapel,scl_cultures,scl_rlmdls,comments,pdfs,total_amount,customer_id,ip_address,id,utm_source,utm_medium,utm_campaign,utm_term,utm_content,device_type
0,student,9/11/2020 21:24,9,0,b,2,1,3,4,5,5,4,5,1,3,4,1,4,1,1,1,1,5,4,5,5,3,3,3,2,5,3,3,I am a very unhappy person. Everyone at this school is dumb.,https://s3.amazonaws.com/pf-pdf-01/79525/2020-09-11/jb13ygb/DSa4qfxbSc7q3ozlSGN6/submission-results.pdf,0, -,98.169.34.10,5f5beaf6d3598014ac21893e,,,,,,desktop
1,teacher,9/9/2020 18:06,9,1,l,1,3,2,3,4,4,1,4,2,4,1,5,4,4,1,4,1,1,2,1,1,5,3,2,4,5,1,2,,https://s3.amazonaws.com/pf-pdf-01/79525/2020-09-11/jb13ygb/CP7g1yPOBEM9hr8oZMMI/submission-results.pdf,0, -,72.214.79.148,5f5919bb9592df2e570dae7b,,,,,,desktop
2,staff,,9,1,b,1,2,2,5,3,2,5,1,1,5,4,4,3,4,1,3,3,1,1,4,1,5,1,5,2,5,1,1,,,,,,,,,,,,
3,parent,,11,0,w,2,1,5,4,5,1,2,4,1,4,3,3,5,3,4,3,2,2,5,1,4,4,5,3,2,3,4,1,,,,,,,,,,,,
4,staff,,11,1,a,5,4,5,5,3,2,4,1,5,3,2,5,5,3,2,4,1,4,4,1,3,1,5,2,4,2,1,1,,,,,,,,,,,,
5,student,,9,1,a,5,4,2,2,1,4,2,5,5,2,4,4,1,4,4,2,1,1,4,3,4,1,3,3,5,2,3,5,,,,,,,,,,,,
6,staff,,12,0,w,3,3,4,4,3,2,4,5,4,2,4,3,1,5,3,2,1,1,3,4,4,2,3,1,2,5,4,1,,,,,,,,,,,,
7,student,,10,0,a,4,4,1,1,5,1,2,5,4,4,2,3,1,2,2,2,1,1,4,4,4,4,5,5,5,2,5,3,,,,,,,,,,,,
8,student,,9,0,w,5,5,5,3,2,2,4,2,4,4,3,2,3,5,3,1,1,2,4,5,4,5,4,5,2,1,3,2,,,,,,,,,,,,
9,staff,,11,0,b,2,1,4,2,3,4,5,3,3,4,3,1,3,3,1,5,5,3,1,1,4,1,4,3,2,2,5,5,,,,,,,,,,,,
10,student,,12,0,a,4,1,3,4,3,4,4,1,2,3,3,1,4,5,1,3,2,3,4,5,1,2,3,4,4,1,4,3,,,,,,,,,,,,
