i_am_a,datetime_submitted,grade,age,gender,race,tenure,2mTq0PjgcHPd8RTbws90,7Fi72Y9bVtSRbskxemvk,IUVzu9HBc2VcfsQW4KY5,onWdSGJLWV4q2OACrlN0,IrmiS5y764nVbEDymfKx,P9Pr54CyfWSlVxzGao7q,qMlVUeKiM8cqzz0qzyCS,wGgPbB95EL8xTzxXVoSe,4Oe3tlEQLT8ZobKCB9z4,4PHkxB52zj594iVNpz14,99MnYhAbKZRiwuOUoOIF,vNaJoMXXJJovwf6Fandb,0kOLRRRJxKNqIQ8s9RjX,HDiqlxJrfRq6boQGN78C,g1EbdWcCvJBnUcjAqMnv,nSTrxjJojOnN64dwxTDx,DiMXJ0be0QKFn1nJuOIy,H33fEgCpntmfPmlROKLZ,eCXv0sPMzJXrGgWf6Lyn,vXqp0KESgBcPHCR5nhhz,HE7vSJOkHC7OKfvAYMAB,ODbXaVv4xBDFqsYbJInH,rjnsBAPm2URTo8GyJ2FR,yjgg3rqg4f76Bis6WvBg,FCKLQXz8lBojHulFnkJ2
student,02/10/2021 09:06:17,9,39,0,b,33,1,3,4,5,5,4,5,1,3,4,1,1,1,1,1,5,4,5,5,3,3,3,2,5,Performance on CRO results
teacher,02/08/2021 17:51:29,9,19,1,l,27,3,2,3,4,4,1,4,2,4,1,5,4,1,4,1,1,2,1,1,5,3,2,4,5,"I don't understand what you mean by measured. I suppose you might be talking about the number of clients, happiness of clients, successful outcomes of clients."
staff,02/09/2021 09:07:46,9,71,1,b,25,2,2,5,3,2,5,1,1,5,4,4,4,1,3,3,1,1,4,1,5,1,5,2,5,Quarterly reviews
parent,02/09/2021 17:49:43,11,59,0,w,3,1,5,4,5,1,2,4,1,4,3,3,3,4,3,2,2,5,1,4,4,5,3,2,3,Its not
staff,02/09/2021 00:47:59,11,44,1,a,39,4,5,5,3,2,4,1,5,3,2,5,3,2,4,1,4,4,1,3,1,5,2,4,2,"Strictly speaking, it's not - but I guess you could say it's becoming increasingly more measured though Google Analytics's and Hotjar."
student,02/09/2021 04:07:21,9,24,1,a,14,4,2,2,1,4,2,5,5,2,4,4,4,4,2,1,1,4,3,4,1,3,3,5,2,NA
staff,02/09/2021 14:16:37,12,34,0,w,15,3,4,4,3,2,4,5,4,2,4,3,5,3,2,1,1,3,4,4,2,3,1,2,5,By sales leads generated by our website and social channels.
student,02/08/2021 18:28:33,10,56,0,a,33,4,1,1,5,1,2,5,4,4,2,3,2,2,2,1,1,4,4,4,4,5,5,5,2,pleased parents
student,02/09/2021 21:59:45,9,75,0,w,38,5,5,3,2,2,4,2,4,4,3,2,5,3,1,1,2,4,5,4,5,4,5,2,1,"Constant improvement in terms of conversions and internal processes. I'm in charge of planting ideas to the whole department (300+ pax) with the tools we have and in turn, I collect ideas from people and translate them on how we could implement using our optimization tools."
staff,02/09/2021 05:35:40,11,20,0,b,9,1,4,2,3,4,5,3,3,4,3,1,3,1,5,5,3,1,1,4,1,4,3,2,2,On conversions.
student,02/10/2021 11:08:39,12,37,0,a,11,1,3,4,3,4,4,1,2,3,3,1,5,1,3,2,3,4,5,1,2,3,4,4,1,"The whole funnel: starting with revenue, next pipeline, next accepted opportunities, then net new names from marketing channels."
student,02/09/2021 07:51:09,10,57,1,l,16,1,2,5,1,5,1,2,5,2,1,3,5,4,2,3,5,1,1,1,1,3,5,5,3,"we each wear many hats and get work done with fewer resources than most, so hitting the highest priorities in the most efficient way possible is the biggest measurement of success (along with the typical measures of analytics, UX testing, etc)"
student,02/08/2021 17:26:39,9,67,0,l,10,4,1,5,2,4,4,3,3,4,5,4,2,2,5,2,4,3,4,3,5,3,5,2,1,Performance Based. All activities in some way tie back to new business and customer retention.
parent,02/08/2021 16:56:54,12,29,0,l,0,1,1,5,3,1,2,5,3,4,2,2,1,2,1,5,1,5,1,2,2,4,2,4,2,"KPIs to measure the effectiveness of our marketing, and how compelling it is. We look for # of visitors, # of pages viewed, and actions taken (download collateral/sign up for trial)."
staff,02/09/2021 04:54:54,10,33,0,l,26,4,5,4,2,1,2,3,3,5,2,5,4,5,4,1,2,1,4,3,3,3,1,1,2,Client Satisfaction with our digital channels and results.
parent,02/08/2021 19:51:37,11,82,1,b,7,4,4,2,3,4,3,5,1,3,2,3,3,1,2,2,5,3,5,3,2,5,4,3,4,"Traffic (pageviews, engagement etc), relevance"
parent,02/08/2021 11:59:17,10,24,0,b,40,5,5,5,3,1,1,2,1,2,2,5,1,1,5,5,5,2,1,4,5,3,2,2,4,Different metrics
teacher,02/09/2021 02:43:31,10,16,1,l,3,5,5,1,2,3,3,2,2,1,4,5,4,2,4,2,5,1,5,3,3,4,1,3,2,"Google Analytics, Hotjar and personal feedback"
staff,02/09/2021 02:21:36,11,56,0,b,29,2,5,2,2,1,1,1,2,5,3,5,1,1,3,4,1,3,1,3,4,5,5,4,1,"Sales, conversation rate"
teacher,02/08/2021 22:15:28,9,76,1,a,31,5,5,4,1,4,1,5,3,3,2,5,5,2,3,2,5,2,1,1,1,3,5,3,5,"We have OKRs for both product and IT. Product is currently measured by feature release, and IT is measured by uptime, customer satisfation and cost of infrastructure."
student,02/10/2021 03:39:36,10,55,1,w,23,5,4,5,3,2,5,4,4,5,1,2,2,5,2,4,3,2,2,4,1,2,3,5,3,Performance
